ALink,SName,SLink,Lyric,language
/asa-de-aguia/,Leva Eu,/asa-de-aguia/leva-eu.html,"[Refrão]

ô leva eu [leva, leva]
leva também o meu amor [leva,leva]
e vamos juntos na avenida [leva, leva]
é carnaval em Salvador [leva,leva]
[2x]

ô meu amor, quero te ver
em nosso bloco, só vai dar eu e você
me dê a mão, vamos brincar
com alegria, to querendo te beijar

ô meu amor, quero saber
se o paraíso é tão bom quanto você
venha pra cá, não diga não
eu já conheço esse olhar na multidão

[Refrão]

ô leva eu [leva, leva]
leva também o meu amor [leva,leva]
e vamos juntos na avenida [leva, leva]
é carnaval em Salvador [leva,leva]
[2x]",pt
/cheiro-de-amor/,Pensa Em Mim,/cheiro-de-amor/pense-em-mim.html,"Inspiração dos meus sonhos, não quero acordar.
Quero ficar só contigo, não vou poder voar.
Pra que parar pra refletir se meu reflexo é você?
Aprendendo uma só vida, compartilhando prazer.

Por que parece que na hora eu não vou aguentar,
Se eu sempre tive força e nunca parei de lutar?
Como num filme no final tudo vai dar certo.
Quem foi que disse que pra tá junto precisa tá perto?

Pensa em mim
Que eu tô pensando em você
E me diz
O que eu quero te dizer
Vem pra cá, pra ver que juntos estamos
E te falar
Mais uma vez que te amo

O tempo que passamos juntos vai ficar pra sempre,
Intimidades, brincadeiras, só a gente entende.
Pra quem fala que namorar é perder tempo eu digo:
Ha muito tempo eu não cresci o que eu cresci contigo.

Juntos no balanço da rede, sob o céu estrelado,
sempre acontece, o tempo para quando eu to do seu lado
A noite chega eu fecho os olhos é você que eu vejo,
Como queria estar contigo eu paro e faço um desejo:

Pensa em mim
Que eu tô pensando em você
E me diz
O que eu quero te dizer
Vem pra cá, pra ver que juntos estamos
E te falar
Mais uma vez que te amo
Mais uma vez que te amo...",pt
/timbalada/,Beija-flor,/timbalada/beija-flor.html,"Eu fui embora meu amor chorou
Eu fui embora meu amor chorou
Eu fui embora meu amor chorou
Eu fui embora meu amor chorou
Vou voltar

Eu vou nas asas de um passarinho
Eu vou nos beijos de um beija-flor
Eu vou nas asas de um passarinho
Eu vou nos beijos de um beija-flor
No tic-tic-tac do meu coração renascerá
No tic-tic-tac do meu coração renascerá

Timbalada é semente de um novo dia
Nordeste sofrimento povo lutador
Entre mares e montanhas com você eu vou

Yo quero te namorar amor
Yo quero te namorar amor

Teu lábio é tão doce,doce feito mel
Todo azul sua beleza feita cor do céu
Quero me aquecer sentir o Seu calor
Rolar pra la na cama te chamar de amor
Fazer mil poesias pra te conquistar
Deixa-la simplesmente coberta de flor
Quero me aquecer sentir o seu calor
Amor é só me chamar que eu vou
Amor é só me chamar que eu vou

Estou sentindo a falta de você
Sonhando com seu beijo espero amanhecer
Tu Levas as palavras soltas pelo ar
Yo quero Lhe namorar á amor
Yo quero Lhe namorar á amor
Yo quero Lhe namorar á amor

Que te bandê
Que te bandê
Que te bandê
Que te bandê
Que te bandê
Que te bandê preta

Yo quero te namorar á amor
Yo quero te namorar á amor",pt
/carlinhos-brown/,Ashansú,/carlinhos-brown/ashansu.html,"Obaluaê
Babalorixa-ê
Babalorixá, atotô
Babalorixa-ê

Ê Nirê, Nirê
Ê Nirê, Nirê
Baba Olorum xexê salerojá
Baba Olorum xexê salerojá
Aê nirê, Nirê ô
Aê nirê, Nirê ô
Aê nirê, Nirê ô
Aê nirê, Nirê ô

Meu padrinho é obaluê
orixá ê
Meu padrinho é obaluaê
orixá ê
Meu padrinho é obaluaê
orixá ê
Meu padrinho é obaluaê
orixá ê

Ê Nirê, Nirê
Ê Nirê, Nirê
Baba Olorum xexê salerojá
Baba Olorum xexê salerojá
Aê nirê, Nirê ô
Aê nirê, Nirê ô
Aê nirê, Nirê ô
Aê nirê, Nirê ô

Obaluaê, Obaluaê, Obaluaê, Obaluaê, Obaluaê ...

Atotô Babá
Atotô
Ashansu
Atotô Omolú
Babalodê alorê minazú didê
Olorum modupê
Olorum didê
Kalofé
Kalofé

Baba Olorum xexê salerojá
Baba Olorum xexê salerojá
Aê nirê, Nirê ô
Aê nirê, Nirê ô
Aê nirê, Nirê ô
Aê nirê, Nirê ô",NA
/tomate/,Aqui É O Seu Lugar,/tomate/aqui-e-o-seu-lugar.html,"Não dá pra entender o meu coração,
mudou de amizade pra louca paixão.
Então foi desta forma que eu percebi,
não quero te assustar ou me iludir.
Não dá mais, não dá pra enganar ou querer fugir.
Não dá mais, se esse sentimento vai crescendo em mim.
Mas tenho que encarar essa decisão, de me confessar e abrir meu
coração.

Pra você, que eu mando flores todas as manhãs viu;
É você, que faz meu coração bater a mais de mil.
Já não sei, o que mais eu faço pra te conquistar, se liga
vem depressa aqui é o seu lugar, pra esse coração que só quer
te amar.
Pra você, que eu mando flores todas as manhãs viu;
É você, que faz meu coração bater a mais de mil.
Já não sei, o que mais eu faço pra te conquistar, se liga
vem depressa aqui é o seu lugar, pra esse coração que só quer
te amar.

Não dá pra entender o meu coração,
mudou de amizade pra louca paixão.
Então foi desta forma que eu percebi,
não quero te assustar ou me iludir.
Não dá mais, não dá pra enganar ou querer fugir.
Não dá mais, se esse sentimento vai crescendo em mim.
Mas tenho que encarar essa decisão, de me confessar e abrir meu
coração.

Pra você, que eu mando flores todas as manhãs viu;
É você, que faz meu coração bater a mais de mil.
Já não sei, o que mais eu faço pra te conquistar, se liga
vem depressa aqui é o seu lugar, pra esse coração que só quer
te amar.
Pra você, que eu mando flores todas as manhãs viu;
É você, que faz meu coração bater a mais de mil.
Já não sei, o que mais eu faço pra te conquistar, se liga
vem depressa aqui é o seu lugar, pra esse coração que só quer
te amar.

Pra você, que eu mando flores todas as manhãs viu;
É você, que faz meu coração bater a mais de mil.
Já não sei, o que mais eu faço pra te conquistar, se liga
vem depressa aqui é o seu lugar, pra esse coração que só quer
te amar.",pt
/jammil-e-uma-noites/,Ê Saudade!,/jammil-e-uma-noites/e-saudade.html,"Qual a melhor forma de sentir calor
Sem seu corpo quente
Qual o melhor jeito de falar de amor
Sem falar da gente
Você foi embora e nem telefonou
Tão indiferente
Se foi pra terminar, por que que começou?
Tinha que ser pra sempre
Eu sei tanta coisa mudou

Ê, saudade
Que bate no meu coração
Sei que é tarde
Mas não desligue não
Ê, saudade
Que bate no meu coração
Preciso dizer que te amo
Pra você lembrar

Qual a melhor forma de sentir calor
Sem seu corpo quente
Qual o melhor jeito de falar de amor
Sem falar da gente
Você foi embora e nem telefonou
Tão indiferente
Se foi pra terminar, por que que começou?
Tinha que ser pra sempre
Eu sei tanta coisa mudou

Ê, saudade
Que bate no meu coração
Sei que é tarde
Mas não desligue não
Ê, saudade
Que bate no meu coração
Preciso dizer que te amo
Pra você lembrar

Olha nos meus olhos
Vem me dar um beijo
Vê como eu te vejo
Eu te quero demais
Vem deitar no meu colo
Me faz de travesseiro
Tudo é tão perfeito no modo
Que a gente faz
Nem todo azul do mar
Nem a luz do luar
Tem o infinito
Que tem no seu olhar
Nem toda água do mar
Nem a luz do luar
Tem o infinito
Que tem no seu olhar

Ê, saudade
Que bate no meu coração
Sei que é tarde
Mas não desligue não
Ê, saudade
Que bate no meu coração
Preciso dizer que te amo
Pra você lembrar",pt
/luiz-caldas/,Magia,/luiz-caldas/magia.html,"Magia mente de marfim pele de cetim
Pelos dourados ao sol sinto que sou um paiol
Pronto para explodir
Vida porque tu és assim se afasta sempre de mim
Com um peixe no mar a nadar
Com os seus olhos de lince serpente de emoção
Enfeitiça o meu coração
a uma estrela do mar não se pode dizer não
Tempo seque logo o meu pranto
acorde de novo o meu canto
faça de mim uma estrela a brilhar",pt
/margareth-menezes/,Faraó Divindade do Egito,/margareth-menezes/farao-divindade-do-egito.html,"Deuses
Divindade Infinita Do Universo
Predominante
Esquema Mitológico
A Ênfase Do Espírito Original
Exu
Formará
No Eden Um Ovo Cósmico

A Emersão
Nem Osíris Sabe Como Aconteceu
A Emersão
Nem Osíris Sabe Como Aconteceu

A Ordem Ou Submissão
Do Olho Seu
Transformou-se
Na Verdadeira Humanidade

Epopéia
Do Código De Guebi
E Nuth
Gerou As Estrelas

Osiris
Proclamou Matrimônio Com Isis
E o mal Seth
Irado o Assassinou
Impera-ar
Horus Levando Avante
A Vingança Do Pai
Derrotando o Império Do mal Seth
O Grito Da Vitória
Que Nos Satisfaz

Cadê ?
Tutacamom
Hei Gize
Akhaenaton
Hei Gize
Tutacamom
Hei Gize
Akhaenaton

Eu Falei Faraó
êeeee Faraó
Eu Clamo Olodum Pelourinho
êeeee Faraó
Pirâmide Da Paz e Do Egito
êeeee Faraó
Eu Clamo Olodum Pelourinho
êeeee Faraó
E Mara Mara Mara
Maravilha Ê
Egito Egito Ê
E Mara Mara Mara
Maravilha Ê
Egito Egito Ê
Faraó ó ó ó Ó
Faraó ó ó ó Ó
Faraó ó ó ó Ó
Faraó ó ó ó Ó

Pelourinho
Uma Pequena Comunidade
Que Porém Olodum uniu
Em Laço De Confraternidade

Despertai-vos Para
Cultura Egipicia no Brasil
ao invés de cabelos Trançados
Veremos Turbantes De Tutacamom

E as Cabeças
Se Enchem De Liberdade
O Povo Negro Pede Igualdade
Deixando De Lado As Separações

Cadê ?
Tutacamom
Hei Gize
Akhaenaton
Hei Gize
Tutacamom
Hei Gize
Akhaenaton

Eu Falei Faraó
êeeee Faraó
Eu Clamo Olodum Pelourinho
êeeee Faraó
Pirâmide Da Paz e Do Egito
êeeee Faraó
Eu Clamo Olodum Pelourinho
êeeee Faraó

E Mara Mara Mara
Maravilha Ê
Egito Egito Ê
E Mara Mara Mara
Maravilha Ê
Egito Egito Ê
Faraó ó ó ó Ó
Faraó ó ó ó Ó
Faraó ó ó ó Ó
Faraó ó ó ó Ó",pt
/jauperi/,É D'oxum,/jauperi/e-doxum.html,"É D'oxum
Nessa cidade todo mundo é d'oxum
Homem, menino, menina mulher
Toda essa gente irradia a magia
Presente na água doce
Presente na água salgada e toda cidade brilha
Presente na água doce
Presente na água salgada e toda cidade brilha
Seja tenente ou filho de pescador
Ou importante desembargador
Se dar presente é tudo uma coisa só
A força que mora n'água
não faz destinçao de cor
E toda cidade é d'oxum
A força que mora n'água
não faz destinçao de cor
E toda cidade é d'oxum
É d'oxum aiáiáiáiá, é d'oxum ô, é d'oxum

refrão
Eu vou navegar
Eu vou navegar nas ondas do mar eu vou
Navegar, eu vou navegar
Eu vou navegar nas ondas do mar eu vou
Navegar, eu vou navegar
Eu vou navegar nas ondas do mar eu vou
Navegar, eu vou navegar, é d'oxum

Seja tenente ou filho de pescador
Ou importante desembargador
Se dar presente é tudo uma coisa só
A força que mora n'água
não faz destinçao de cor
E toda cidade é d'oxum
A força que mora n'água
não faz distinção de cor
E toda cidade é d'oxum
É d'oxum aiáiáiáiá, é d'oxum ô, é d'oxum

refrão",pt
/babado-novo/,Amor Perfeito,/babado-novo/amor-perfeito.html,"Fecho os olhos pra não ver passar o tempo
Sinto falta de você....
Anjo bom, amor perfeito no meu peito
Sem você não sei viver


Então vem
Que eu conto os dias, conto as horas pra te ver
Eu não consigo te esquecer
Cada minuto é muito tempo sem você

Os segundos vão passando lentamente
Não tem hora pra chegar
Até quando te amando,te querendo
Meu coração quer te encontrar

Então vem
Que nos teus braços esse amor é uma canção
Eu não consigo te esquecer
Cada minuto é muito tempo sem você, sem você....

Eu não vou saber me acostumar
Sem suas mãos pra me acalmar
Sem seu olhar pra me entender
Sem seu carinho, amor, sem você
Vem me tirar da solidão,
Fazer feliz meu coração
Já não importa quem errou
O que passou, passou
Então vem....",pt
/parangole/,Ela Não Quer Guerra Com Ninguém,/parangole/ela-nao-quer-guerra-com-ninguem.html,"Uma mulher de cabelo feito
Com seu dinheiro tá tudo bem
Ela não quer guerra com ninguém
Ela não quer guerra com ninguém
Já foi no salão, já fez pé e mão
E a depilação é de neném
Ela não quer guerra com ninguém
Ela não quer guerra com ninguém
Nem namorado ela tem
Ela não quer guerra com ninguém
Ela não quer guerra com ninguém
Então vai

Quero ver tu jogando e representando
A zorra da bunda nesse paredão
(êta zorra segura)
Nesse paredão
É mais um hit do pai
Sim
Quero ver tu jogando e representando
A zorra da bunda nesse paredão
Solta
Nesse paredão

Me representa grandão
Joga de novo no chão
Quero ver tu jogando e representando
A zorra da bunda nesse paredão (o pai chegou)
Nesse paredão

Ela tá com o dinheiro do uber
Com o dinheiro da cerveja
Com as amiga do lado
Não quer guerra com ninguém
Ela não quer guerra com ninguém
Ela não quer guerra com ninguém
Nem namorado ela tem
Ela não quer guerra com ninguém
Ela não quer guerra com ninguém
Então vai

Quero ver tu jogando e representando
A zorra da bunda nesse paredão
(segura)
Nesse paredão
Êta zorra, aí

Uma mulher de cabelo feito
Com seu dinheiro tá tudo bem
Ela não quer guerra com ninguém
Ela não quer guerra com ninguém
Já foi no salão, já fez pé e mão
E a depilação é de neném
Ela não quer guerra com ninguém
Ela não quer guerra com ninguém
Nem namorado ela tem
Ela não quer guerra com ninguém
Ela não quer guerra com ninguém
Então vai
Quero ver tu jogando e representando
A zorra da bunda nesse paredão
Pra cima
Nesse paredão

Aí, me representa grandão
Joga de novo no chão
Quero ver tu jogando e representando
A zorra da bunda nesse paredão
Nesse paredão
Isso, que swing é esse
Nesse paredão",pt
/psirico/,Lepo Lepo,/psirico/lepo-lepo.html,"Ah, eu já não sei o que fazer
Duro pé-rapado, com salario atrasado
(ahh, eu não tenho mais por onde correr)
Já fui despejado, o banco levou o meu carro

Agora vou conversar com ela
Será que ela vai me querer?
Agora vou saber a verdade
Se é dinheiro se amor
(ou cumplicidade)

(Refrão)
Eu não tenho carro
Não tenho teto
E se ficar comigo é porque gosta
Do meu
Rá rá rá rá rá rá rá
Lepo Lepo
É tão gostoso quando eu
Rá rá rá rá rá rá rá
O Lepo Lepo",pt
/banda-grafith/,O Chico Bateu No Bode,/banda-grafith/o-bode-bateu-no-bode.html,"Te tê teretê dudu, tê teretê dudu
Te tê teretê dudu, tê teretê dudu, nina nina nina

Chico bateu no bode o bode bateu em Chico
Chico apanhou do bode o bode apanhou de Chico
Quem apartou a briga foi o bode pai de Chico
Com seu nome estrambólico se chama bode brinco
Levanta sacode que lá vem o bode, olha aí, corre Chico
Levanta sacode que lá vem o bode, corre Chico

Fala mudo, utopia e tudo
Vai buscar no fundo sua vez, suave vivi
Fala mudo como bem queres tudo
na fonte do absurdo sua vez, suave vivi.",pt
/tchakabum/,Tesouro de Pirata (Onda Onda),/tchakabum/tesouro-de-pirata-onda-onda.html,"Vou te pegar, essa é a galera do avião
Se ligue agora nessa nova onda
Sou um pirata jogando a marcação, ô ô ô

Vou navegar, cumprindo as ordens do meu capitão
Capitão Tchaka vem dançando com a galera
Nessa aventura que é pura emoção
Olha a onda!

Onda, onda, olha a onda
Onda, onda, olha a onda
Onda, onda, olha a onda
Onda, onda, olha a onda

Vou te molhar, vou te banhar, vai sacudir vai abalar
Vou te molhar, vou te banhar, vai sacudir vai abalar

Molhou o seu rostinho
Molhou a barriguinha
Molhou o seu pezinho
Molhou todo corpinho deixa que eu vou te enxugar

Molhou o seu rostinho
Molhou a barriguinha
Molhou o seu pezinho
Molhou todo corpinho deixa que eu vou te enxugar

Balança pra lá, balança pra cá
Sacudiu tremeu, treme sem parar
Balança pra lá, balança pra cá
Sacudiu tremeu, treme sem parar

Capitão mandou
O marujo sim senhor
O capitão mandou
O marujo sim senhor
E o capitão mandou
O marujo sim senhor

Andou na prancha, cuidado o tubarão vai te pegar
Andou na prancha, cuidado o tubarão vai te pegar
Andou na prancha, cuidado o tubarão vai te pegar
Andou na prancha, cuidado o tubarão vai te pegar

Onda, onda, olha a onda
Onda, onda, olha a onda
Onda, onda, olha a onda
Onda, onda, olha a onda",pt
/banda-mel/,Bagdá,/banda-mel/bagda.html,"Duas crianças de sangue tevem que juntar
Jurando um ao outro
Nunca iam se separar
A traição proclamada pelo Grã Vizir
Assassinaram o rei Alih, quando ia partir

India, fronteira sagrada com Bagdá
Nossa majestade Alih reinava lá
Antes da morte Alih entregou o medalhão
E o seu filho, ficou conchecido por toda nação
E o filho de Alih vendo as cenas da traição
Se escondera, atrás do barco da navegação
E a rebeldia do mar, às vezes mata
Mas dessa ajudou
Esse é o milagre da história
Que a mãe natureza revelou
Ié..
ôôô.. Bagdá
ôôô...Bagdá

E nas montanhas eu vi...
Alih Babá

Em Bagdá...",pt
/black-style/,Escola da Vida,/black-style/escola-da-vida.html,"Na escola da vida aprendi
Como chorei e sofri
No sonho, eu persisti
Não desisti de lutar

Vi muita gente subir
Mas vi o mesmo cair
Por humilhar e ferir
Quem quis só te ajudar

Para alcançar o sucesso
Eu tive fé fui a luta
Não mudei minha conduta
Nem meu jeito de ser

Vou dar um papo na boa
Quer conhecer uma pessoa?
Ou dá a ela dinheiro
Ou muita fama e poder

Ela esquece das origens
Esquece de onde veio
Só quer glamour, área vip
Se tem flash tá no meio

Mas só que ela esquece
Que tudo que sobe desce
Ela precisa entender
Que o que nasce vai morrer

Já tô na estrada a um tempão
Não caí de pára-quedas
Quanto maior a altura
Dolorosa é a queda

Oh...

(Refrão)
A vida é tipo roda-gigante
Então pra que esculacho
Hoje você tá por cima
Amanhã tá embaixo

Esse meu Deus que me guia
É a melhor saída
Porque a humildade
É a essência da vida

A humildade é a essência da vida",pt
