Artist,Genres,Songs,Popularity,Link
Kirk Franklin,Gospel/Religioso; Black Music; Soul Music,166,2.7,/kirk-franklin/
Ice Cube,Rap; Black Music; Hip Hop,239,3,/ice-cube/
Ciara,Hip Hop; R&B; Black Music,149,2.7,/ciara/
Brian Mcknight,Romântico; Black Music,190,2.5,/brian-mcknight/
Jackson 5,Soul Music; Pop; Disco,218,2.2,/jackson-5/
Willow Smith,Pop; Dance; Hip Hop,85,1.8,/willow-smith/
Des'ree,Black Music; Romântico; Pop,53,1.7,/desree/
BaianaSystem,Black Music; Reggae; Hip Hop,56,1.4,/baianasystem/
Kid Cudi,Hip Hop; Black Music; Rap,120,1.3,/kid-cudi/
Jeremih,Hip Hop; R&B; Black Music,38,1.3,/jeremih/
Will Smith,Black Music; Hip Hop; Rap,130,0,/will-smith/
Pregador Luo,Gospel/Religioso; Hip Hop; Black Music,147,1,/pregador-luo/
Jennifer Hudson,R&B; Black Music; Pop,89,0,/jennifer-hudson/
T.I.,Hip Hop; Rap; Black Music,243,1,/t-i/
Raiz Coral,Gospel/Religioso; Black Music; Soul Music,57,0,/raiz-coral/
B.o.B,Hip Hop; Rap; Black Music,251,0,/b-o-b/
Taio Cruz,Electronica; Dance; Pop,78,0.2,/taio-cruz/
Ao Cubo,Hip Hop; Rap; Gospel/Religioso,62,1,/ao-cubo/
Meek Mill,Rap; Black Music; Hip Hop,128,0,/meek-mill/
Aaliyah,Black Music; R&B,97,0,/aaliyah/
Nicole Scherzinger,Dance; Pop; R&B,101,0,/nicole-scherzinger/
Vinicius D' Black,Black Music; Romântico; Soul Music,38,1,/vinicius-d-black/
Stevie B,Dance; Black Music; Romântico,44,0,/stevie-b/
Birdman,Black Music; Rap; Hip Hop,76,0.2,/birdman/
Negra Li,Hip Hop; Black Music; Rap,54,0,/negra-li/
B2k,Hip Hop; Black Music; Rap,87,0,/b2k/
Sergio Saas,Gospel/Religioso; Black Music; Soul Music,67,0,/sergio-saas/
Kevin Gates,Black Music; Hip Hop,137,0,/kevin-gates/
Fabão,Black Music; Punk Rock; Reggae,9,0,/fabao/
Yudi,Pop; Hip Hop; Pop/Rock,35,0,/yudi/
Diddy-Dirty Money,Rap; Black Music; R&B,27,0,/diddy-dirty-money/
Ace Hood,Black Music; Rap; Hip Hop,86,0,/ace-hood/
Kash Doll,Black Music; Trip-Hop; Rap,19,0,/kash-doll/
5º Elemento,Black Music; Hip Hop; Rap,36,0,/5-elemento/
Quarteto Flg,Black Music; Gospel/Religioso; Rap,38,0,/quarteto-flg/
Tendekasha,Black Music; World Music; Reggae,10,0,/tendekasha/
Natt Maat,Black Music; Hip Hop; Rap,9,0,/natt-maat/
Franky Fade,Hip Hop; Black Music; R&B,9,0,/franky-fade/
Mvp,Black Music; Rap; Hip Hop,10,0,/m-v-p/
The Boy,R&B; Black Music; Rap,14,0,/the-boy/
NA,NA,NA,NA,NA
Letícia Borges,Black Music; Romântico; Pop,5,0,/leticia-borges/
Melvin Santhana,Samba; Hip Hop; Black Music,8,0,/melvin-santhana/
Elvis Presley,Rockabilly; Romântico; Rock,759,23.1,/elvis-presley/
John Mayer,Romântico; Blues; Pop/Rock,151,14.9,/john-mayer/
Amy Winehouse,R&B; Jazz; Soul Music,70,13.5,/amy-winehouse/
Rolling Stones,Classic Rock; Rock; Blues,438,12.8,/the-rolling-stones/
Michael Bublé,Romântico; Jazz; Blues,179,10.7,/michael-buble/
Eric Clapton,Rock; Blues,429,7.9,/eric-clapton/
Bob Dylan,Folk; Rock; Country,558,6.9,/bob-dylan/
The Doors,Blues; Rock; Psicodelia,135,6,/the-doors/
Norah Jones,Jazz; Blues; Soul Music,196,5.3,/norah-jones/
Janis Joplin,Rock; Blues; R&B,113,4.5,/janis-joplin/
Fleetwood Mac,Soft Rock; Rock; Pop/Rock,252,4.3,/fleetwood-mac/
Bill Withers,Soul Music; R&B; Blues,87,3.6,/bill-withers/
Lynyrd Skynyrd,Rock; Hard Rock; Country,167,2.7,/lynyrd-skynyrd/
Jimi Hendrix,Rock; Blues; Psicodelia,129,2.1,/jimi-hendrix/
Etta James,Blues,93,2,/etta-james/
Nick Cave & The Bad Seeds,Rock; Blues; Romântico,307,2.1,/nick-cave-the-bad-seeds/
BB King,Blues,371,1.3,/bb-king/
Johnny Rivers,Rock; Pop/Rock; Blues,160,1,/johnny-rivers/
The Black Keys,Rock Alternativo; Indie; Rock,152,1.6,/the-black-keys/
Gary Moore,Blues; Rock; Jazz,167,0,/gary-moore/
Little Richard,Rockabilly; Rock; R&B,46,0,/little-richard/
Stevie Ray Vaughan,Blues; Rock; Country,70,0,/vaughan-stevie-ray/
The Band,Rock; Country; Folk,187,0,/the-band/
Muddy Waters,Blues,90,0,/muddy-waters/
Richie Sambora,Rock; Blues,43,0,/sambora-richie/
Cream,Rock; Blues; Hard Rock,61,0,/cream/
Buddy Guy,Blues; Hardcore; Country,55,0,/buddy-guy/
Gary Clark Jr.,Blues,37,0,/gary-clark-jr/
Joe Bonamassa,Blues,58,0,/joe-bonamassa/
John Lee Hooker,Blues; Hard Rock; Gospel/Religioso,55,0,/john-lee-hooker/
Rory Gallagher,Blues; Rock; Hard Rock,90,0,/rory-gallagher/
Ivo Gonçalves,Rock; Blues; MPB,46,0,/ivo-goncalves/
The Allman Brothers Band,Blues,142,0,/the-allman-brothers-band/
Howlin' Wolf,Blues,65,0,/howlin-wolf-11/
Albert King,Blues,41,0,/albert-king/
Willie Dixon,Blues; Instrumental,32,0,/willie-dixon/
Jimmy Reed,Blues; Electronica; Axé,73,0,/jimmy-reed/
Taj Mahal,Blues,22,0,/taj-mahal/
André Christovam,Blues,8,0,/andre-christovam/
Hugh Laurie,Blues; Jazz; House,30,0,/hugh-laurie/
John Mayall,Blues,53,0,/john-mayalls-bluesbreakers/
Blind Arthur Blake,Blues; Piano Rock,10,0,/blind-arthur-blake/
The Self-Escape,R&B; Blues; Indie,14,0,/the-self-escape/
Son House,Blues; Folk,30,0,/son-house/
Elmore James,Blues,50,0,/elmore-james/
Mississippi John Hurt,Blues,20,0,/mississippi-john-hurt/
Jonny Lang,Blues; Pop/Rock; Rock,68,0,/jonny-lang/
Brian Setzer Orchestra,Blues; Rockabilly; Jazz,101,0,/brian-setzer-orchestra/
Captain Beefheart,Blues; Psicodelia,62,0,/captain-beefheart/
Screamin' Jay Hawkins,Blues; Rock; R&B,21,0,/screamin-jay-hawkins/
Mecânica,Pop/Rock,45,0,/mecanica/
O Mormaço Severino,Rock Alternativo; Blues; Psicodelia,3,0,/o-mormaco-severino/
SoulRun,Hard Rock; Blues; Rock,0,0,/soulrun/
Joanne Shaw Taylor,Hard Rock; Blues; Classic Rock,3,0,/joanne-shaw-taylor/
"Johnny ""Guitar"" Watson",Funk; Blues; R&B,7,0,/johnny-guitar-watson/
Banda Morfina,Blues,1,0,/banda-morfina/
Ida Cox,Blues,25,0,/ida-cox/
Dezert Sons,Grunge; Blues; Rock,5,0,/dezert-sons/
Chico Buarque,Bossa Nova; Samba; MPB,448,8.8,/chico-buarque/
Tom Jobim,Jazz; Bossa Nova; MPB,207,7,/tom-jobim/
Elis Regina,Bossa Nova; MPB,352,4.7,/elis-regina/
Vinicius de Moraes,MPB; Bossa Nova,160,4.9,/vinicius-de-moraes/
Maria Rita,Bossa Nova; Samba; MPB,140,1.2,/maria-rita/
João Gilberto,Bossa Nova,124,1.3,/joao-gilberto/
Nara Leão,Bossa Nova; MPB,215,0,/nara-leao/
Maysa,Bossa Nova; Velha Guarda,198,1,/maysa/
Marcos Valle,Pop; MPB; Bossa Nova,134,0.4,/marcos-valle/
Kings Of Convenience,Indie; Folk; Bossa Nova,65,0,/kings-of-convenience/
Wilson Simonal,MPB; Bossa Nova; Soul Music,140,0,/wilson-simonal/
Geraldo Vandré,MPB; Bossa Nova,62,0,/geraldo-vandre/
Elizeth Cardoso,Samba; Velha Guarda; Bossa Nova,353,0.5,/elizeth-cardoso/
Sérgio Mendes,Bossa Nova; Samba; Clássico,66,0,/sergio-mendes/
Agostinho dos Santos,Bossa Nova,214,0.1,/agostinho-dos-santos/
Carlos Lyra,Bossa Nova; MPB; Blues,209,0,/carlos-lyra/
João Donato,Bossa Nova; MPB; Jazz,113,0,/joao-donato/
Roberto Menescal,Bossa Nova,83,0,/roberto-menescal/
Leny Andrade,Bossa Nova,147,0,/leny-andrade/
Nayara Portela,MPB; Samba; Bossa Nova,35,0,/nayara-portela/
Sylvia Telles,Bossa Nova,34,0,/sylvia-telles/
daBossa,MPB; Bossa Nova; Samba,9,0,/dabossa/
Alaíde Costa,Bossa Nova,85,0,/alaide-costa/
Gilberto França,Bossa Nova; Pop/Rock; Gospel/Religioso,11,0,/gilberto-franca/
Família da Música,Reggae; Bossa Nova; World Music,10,0,/familia-da-musica/
Moby,Trip-Hop; Chillout; Instrumental,151,2.6,/moby/
Kali Uchis,R&B; Chillout; Pop,77,1,/kali-uchis/
Groove Armada,Chillout; House; Electronica,48,0,/groove-armada/
Röyksopp,Electronica; Chillout; Indie,45,0,/royksopp/
Air,Chillout; Instrumental; Trip-Hop,85,0,/air/
ATB,Chillout; Trance,80,0,/atb/
Flight Facilities,House; Chillout; Electronica,18,0,/flight-facilities/
Thievery Corporation,Trip-Hop; Chillout,41,0,/thievery-corporation/
Zero7,Chillout; Indie; Trip-Hop,39,0,/zero7/
Chicane,Chillout; Trance; Electronica,24,0,/chicane/
Delerium,Trance; Chillout; Gótico,58,0,/delerium/
Parov Stelar,Electro Swing; Trip-Hop; Chillout,6,0,/parov-stelar/
AC/DC,Rock; Heavy Metal; Classic Rock,204,19.2,/ac-dc/
George Harrison,Classic Rock; Rock; Pop/Rock,192,4.9,/george-harrison/
The Alan Parsons Project,Classic Rock; Progressivo,157,1,/the-alan-parsons-project/
Ringo Starr,Rock; Classic Rock; Pop/Rock,243,0,/ringo-starr/
Ivan Lima,Pop/Rock; Classic Rock; Gospel/Religioso,1,0,/ivan-lima/
Juliana Kosso,Pop/Rock; Classic Rock; Rock,16,0,/juliana-kosso/
Capitão Nemo,Pop/Rock; Classic Rock; Rock Alternativo,14,0,/capitao-nemo/
Mamilo Mandala,Classic Rock; Hard Rock; Rock,10,0,/mamilo-mandala/
Doctor X,Classic Rock; Rock Alternativo; Rock,7,0,/doctor-x/
Seiling,Classic Rock; Pop/Rock,0,0,/seiling/
Pink Floyd,Progressivo; Rock; Psicodelia,208,42.6,/pink-floyd/
Andrea Bocelli,Clássico; Romântico; Instrumental,240,8.7,/andrea-bocelli/
Disney,COLETÂNEA; Trilha Sonora; Infantil; Clássico,540,8.7,/disney/
Enya,New Age; Clássico; Instrumental,129,5.3,/enya/
Luciano Pavarotti,Clássico,140,3.5,/luciano-pavarotti/
Josh Groban,Clássico; Romântico,163,2.5,/josh-groban/
Il Divo,Clássico; Romântico,93,1.3,/il-divo/
Il Volo,Clássico; Romântico,103,2.1,/il-volo/
Epica,Gótico; Heavy Metal; Rock,134,0,/epica/
Sarah Brightman,New Age; Clássico; Romântico,269,1,/sarah-brightman/
The Phantom Of The Opera,Clássico; Trilha Sonora; Romântico,64,1,/the-phantom-of-the-opera/
Titanic (Trilha Sonora),COLETÂNEA; Romântico; Trilha Sonora; Clássico,2,1,/titanic/
Mozart,Clássico; Instrumental; Gospel/Religioso,46,0,/mozart/
Harry Potter,COLETÂNEA; Trilha Sonora; Clássico; Rock,19,1,/harry-potter/
Beethoven,Clássico; Instrumental; Romântico,7,1,/beethoven/
Placido Domingo,Clássico; Piano Rock; Hip Hop,47,0,/placido-domingo/
Tarja Turunen,Heavy Metal; Rock; Gótico,124,0,/tarja-turunen/
Robert Pattinson,Romântico; Clássico; Instrumental,14,0,/robert-pattinson/
Susan Boyle,Clássico; Romântico,78,0,/susan-boyle/
The Three Tenors,Clássico; Punk Rock; Psicodelia,31,0,/the-3-tenors/
Frederic Chopin,Clássico; Blues; Romântico,4,0,/frederic-chopin/
Antonio Vivaldi,Clássico,1,0,/antonio-vivaldi/
Laura García,Clássico; Pop,1,0,/laura-garcia/
José & Josué,Clássico; Trilha Sonora; Country,31,0,/jose-josue/
Taylor Swift,Pop; Romântico; Pop/Rock,387,72.7,/taylor-swift/
Shania Twain,Pop; Country; Romântico,113,30.7,/shania-twain/
Ludmila Ferber,Gospel/Religioso; Country; Sertanejo,237,14.5,/ludmila-ferber/
Creedence Clearwater Revival,Rock; Country,67,13.7,/creedence-clearwater-revival/
Johnny Cash,Folk; Country; Rock,557,14.1,/johnny-cash/
Chitãozinho e Xororó,Romântico; Sertanejo; Country,476,8.9,/chitaozinho-e-xororo/
Alan Jackson,Country,276,7.6,/alan-jackson/
Eagles,Soft Rock; Country,95,6,/eagles/
Victor e Leo,Sertanejo; Country; Romântico,181,3.1,/victor-leo/
Paula Fernandes,Sertanejo; Country; Pop,238,3,/paula-fernandes/
Naiara Azevedo,Romântico; Country; Sertanejo,124,4.4,/naiara-azevedo/
Lady A,Pop; Romântico; Country,133,3.8,/lady-a/
Hugo Pena e Gabriel,Romântico; Sertanejo; Country,115,1.9,/hugo-pena-e-gabriel/
João Bosco e Vinícius,Sertanejo; Romântico; Country,182,2.4,/joao-bosco-e-vinicius/
Edson e Hudson,Romântico; Sertanejo; Country,229,1.7,/edson-e-hudson/
João Carreiro & Capataz,Sertanejo; Country; Romântico,156,1.3,/joao-carreiro-capataz/
Dolly Parton,Country,723,1.3,/dolly-parton/
Willie Nelson,Country,284,0.7,/willie-nelson/
Blake Shelton,Country,165,0.9,/blake-shelton/
Thaeme e Thiago,Romântico; Sertanejo; Country,120,1.4,/thaeme-e-thiago/
Rascal Flatts,Country,155,1.8,/rascal-flatts/
Carrie Underwood,Country; Pop,164,0.8,/carrie-underwood/
Faith Hill,Country; Pop; Romântico,122,0,/faith-hill/
Garth Brooks,Country,191,1,/garth-brooks/
George Strait,Country,366,1,/george-strait/
Dan + Shay,Country,51,1,/dan-shay/
Matanza,Hardcore; Rock; Hard Rock,95,1,/matanza/
Brad Paisley,Country,151,1,/brad-paisley/
Munhoz e Mariano,Sertanejo; Romântico; Country,119,0,/munhoz-e-mariano/
Keith Urban,Country,162,0.4,/keith-urban/
Marco Brasil,Sertanejo; Country; Axé,325,0,/marco-brasil/
Florida Georgia Line,Country,90,1,/florida-georgia-line/
The Chicks (Dixie Chicks),Country; Romântico; Rock,92,0,/the-chicks-dixie-chicks/
Kenny Chesney,Country,199,0,/kenny-chesney/
The Band Perry,Country; Romântico; Pop,30,1,/the-band-perry/
Billy Ray Cyrus,Country,147,0,/billy-ray-cyrus/
Merle Haggard,Country; Axé; Funk Carioca,247,0,/merle-haggard/
Wanda Jackson,Rockabilly; Country,167,0,/wanda-jackson/
Waylon Jennings,Country,383,0,/waylon-jennings/
Eduardo Araújo,Rock; Country,38,0,/eduardo-araujo/
Hank Williams,Country,165,0,/hank-williams/
Zac Brown Band,Country,86,0,/zac-brown-band/
Alabama,Country; Axé; Funk Carioca,191,0,/alabama/
Brooks & Dunn,Country; Bossa Nova,81,0,/brooks-dunn/
The Highwaymen,Country,14,0,/the-highwaymen/
Brenda Lee,Country; Rockabilly,161,0,/brenda-lee/
The Byrds,Rock; Folk; Country,146,0,/the-byrds/
Chris Young,Country,107,0.1,/chris-young/
Dallas Country,Country; Velha Guarda; Punk Rock,22,0,/dallas-country/
Glen Campbell,Country,219,0,/glen-campbell/
Marília Dutra,Country; Romântico; Sertanejo,21,0,/marilia-dutra/
Miranda Lambert,Country,125,0,/miranda-lambert/
Martina McBride,Country; Romântico; Pop,152,0,/martina-mcbride/
Norman Blake,Country; Clássico; Gospel/Religioso,2,0,/norman-blake/
Ricky Nelson,Rockabilly; Country; Rock,151,0,/ricky-nelson/
Patsy Cline,Country; Rockabilly; Blues,120,0,/patsy-cline/
George Jones,Country; Folk,534,0,/george-jones/
Don Henley,Soft Rock; Pop; Country,67,0,/don-henley/
Jennette McCurdy,Pop; Romântico; Country,38,0,/jennette-mccurdy/
The Judds,Country; Axé,88,0,/judds/
Sara Evans,Country; Romântico,82,0,/sara-evans/
Alexander Ludwig,Country,6,0,/alexander-ludwig/
Cowboy Junkies,Country; Rock,138,0,/cowboy-junkies/
Nathália Siqueira,Country; Sertanejo; Romântico,33,0,/nathalia-siqueira/
Ayla,Forró; Country; Sertanejo,9,0,/ayla/
Paul Brandt,Country,80,0,/paul-brandt/
Charlie Feathers,Rockabilly; Country; Rock,22,0,/charlie-feathers/
Nitty Gritty Dirt Band,Country,103,0,/nitty-gritty-dirt-band/
Jake Owen,Country,34,0,/jake-owen/
Bek e os Tio de Fusca,Country; Indie,1,0,/bek-e-os-tio-de-fusca/
Lyle Lovett,Country,143,0,/lyle-lovett/
Leonardo Arantes,Forró; Country,19,0,/leonardo-arantes/
Tennessee Ernie Ford,Country,44,0,/tenneessee-ford/
Ward Thomas,Country,22,0,/ward-thomas/
Desert Rose Band,Country,45,0,/desert-rose-band/
Erich e Bruno,Forró; Country; Sertanejo,17,0,/erich-e-bruno/
Skeeter Davis,Country,166,0,/skeeter-davis/
West Rocky,Country; Sertanejo,16,0,/west-rocky/
Bill Monroe,Country; Black Music,351,0,/bill-monroe/
Flying Burrito Brothers,Country; Rock,46,0,/flying-burrito-brothers/
Milton Nunes,Country; Romântico; Sertanejo,27,0,/milton-nunes/
Henrique Linhares,Country; Folk; Sertanejo,6,0,/henrique-linhares/
Chuck Wicks,Country; Surf Music,11,0,/chuck-wicks/
Hank Snow,Country,89,0,/hank-snow/
Anitta,Pop; Dance; Funk Carioca,150,119.6,/anitta/
Justin Bieber,Dance; Pop; Romântico,279,66.8,/justin-bieber/
Lady Gaga,Dance; Pop; Pop/Rock,281,56.2,/lady-gaga/
Ariana Grande,Pop; Dance; Romântico,189,53.1,/ariana-grande/
Shakira,Pop; Pop/Rock; Dance,192,30.8,/shakira/
Katy Perry,Pop; Dance; Pop/Rock,200,38.5,/katy-perry/
Alok,Dance; Electronica; House,98,38.4,/alok/
One Direction,Pop/Rock; Pop; Romântico,126,22.3,/one-direction/
Mariah Carey,Romântico; Pop; R&B,303,16.6,/mariah-carey/
AVICII,House; Electronica; Dance,108,22.1,/avicii/
Miley Cyrus,Pop; Pop/Rock; Dance,299,19.1,/miley-cyrus/
Demi Lovato,Pop; Pop/Rock; Dance,225,25.2,/demi-lovato/
Madonna,Dance; Pop,378,16.3,/madonna/
Britney Spears,Pop; Dance,321,15.5,/britney-spears/
Cyndi Lauper,Pop/Rock; Pop; Dance,232,24,/cyndi-lauper/
ABBA,Disco; Pop; Dance,166,11.8,/abba/
Jessie J,Dance; Pop/Rock; Pop,129,12.8,/jessie-j/
Selena Gomez,Pop; Dance; Pop/Rock,194,10.8,/selena-gomez/
David Guetta,House; Pop; Tecnopop,222,12.1,/david-guetta/
Backstreet Boys,Dance; Romântico; Pop/Rock,213,8.3,/backstreet-boys/
The Chainsmokers,Dance; Electronica; Pop,65,10.3,/the-chainsmokers/
Calvin Harris,Electronica; House; Dance,104,9.5,/calvin-harris/
Lulu Santos,Pop/Rock; Rock; Pop,282,6,/lulu-santos/
Enrique Iglesias,Dance; Pop; Romântico,177,4.4,/enrique-iglesias/
Cher,Disco; Pop; Dance,309,7.3,/cher/
Xuxa,Infantil; Pop; Dance,543,4.2,/xuxa/
Pet Shop Boys,Dance; Pop; Tecnopop,299,2.9,/pet-shop-boys/
Kesha,Pop; Dance,228,3.5,/kesha/
Jonas Brothers,Pop/Rock; Pop; Trilha Sonora,174,2.9,/jonas-brothers/
Stromae,Electronica; Dance; House,48,6.2,/stromae/
Boney M,Disco; Dance,132,3.3,/boney-m/
Tiësto,Electronica; Trance; Dance,165,2.8,/dj-tiesto/
High School Musical,Romântico; Dance; Pop/Rock,55,2.1,/high-school-musical/
Swedish House Mafia,House; Electronica; Dance,39,2.9,/swedish-house-mafia/
Pitbull,Dance; Pop; Hip Hop,270,2,/pitbull/
Ricky Martin,Pop; Dance; Romântico,172,1.7,/ricky-martin/
Village People,Disco; Dance,20,2.1,/village-people/
DJ Snake,Electronica; Dance,58,2.9,/dj-snake/
Haddaway,Dance,20,2.2,/haddaway/
Gigi D'Agostino,Dance; Electronica,96,2,/gigi-dagostino/
Rick Astley,Pop; Dance,100,2.3,/rick-astley/
Pabllo Vittar,Pop; Dance,65,1.5,/pabllo-vittar/
Rebeldes,Pop/Rock; Trilha Sonora; Pop,66,1.7,/rebelde-rede-record/
The Wanted,Dance; Pop; Electronica,68,1.8,/the-wanted/
New Order,Pós-Punk; Dance; Tecnopop,132,1.5,/new-order/
Kylie Minogue,Dance; Pop; Electronica,423,1.6,/kylie-minogue/
PSY,Dance; K-Pop/K-Rock; Pop,43,2,/psy/
Carly Rae Jepsen,Dance; Pop; Pop/Rock,118,1.3,/carly-rae-jepsen/
Major Lazer,Electronica; Dance,92,1.5,/major-lazer/
Thalía,Dance; Romântico; Pop,287,1.4,/thalia/
Latino,Dance; Pop; Romântico,129,0.9,/latino/
Wanessa Camargo,Dance; Romântico; Pop,168,1,/wanessa-camargo/
Bob Sinclar,House; Electronica; Dance,59,1,/bob-sinclar/
will.i.am,Electronica; R&B; Hip Hop,89,1.3,/will-i-am/
Kelly Key,Dance; Pop; Romântico,89,1.4,/kelly-key/
Dulce María,Pop/Rock; Dance; Romântico,92,1.1,/dulce-maria-solo/
Akcent,Electronica; Dance; House,130,0,/akcent/
Jamiroquai,Funk; Pop; Soul Music,114,0,/jamiroquai/
Dirty Dancing (trilha-sonora),Dance; Romântico; Trilha Sonora,16,1,/dirty-dancing/
Zendaya,Pop; Dance,50,1.6,/zendaya/
Anahí,Pop; Romântico; Pop/Rock,99,1,/anahi/
Ashley Tisdale,Pop/Rock; Dance; Pop,99,1.4,/ashley-tisdale/
Victoria Justice / Victorious,COLETÂNEA; Trilha Sonora; Pop; Pop/Rock,53,2,/victoria-justice-victorious/
Rouge,Romântico; Pop; Dance,73,1,/rouge/
Inna,House; Electronica; Dance,168,0.3,/inna/
Double You,Dance,40,1,/double-you/
Far East Movement,Dance; Electronica; Pop,73,1,/far-east-movement/
Lasgo,House; Dance; Electronica,53,0,/lasgo/
Snap!,Dance,22,0,/snap/
O-Zone,Dance,34,1.5,/o-zone/
LMFAO,Pop; Tecnopop; Dance,44,0,/lmfao/
Armin Van Buuren,Trance; Electronica; Dance,158,2,/armin-van-buuren/
Camp Rock,Pop; Trilha Sonora; Rock,30,0,/camp-rock/
Forró do Muído,Romântico; Forró; Dance,197,0,/forro-do-muido/
